id,account,total_appraised_value_2019,pct_value_change,new_owner_date,sq_ft,acreage,latitude,longitude,zip_code,neighborhood_code,neighborhood,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
56,90770000017,322204,0.454878486,2013-07-05,1749,0.0554,29.75686,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Middle,65,1,90
56,90770000017,322204,0.454878486,2013-07-05,1749,0.0554,29.75686,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912322,High,95,1,90
57,90770000018,320139,4.595977417,2000-01-01,1749,0.0561,29.75677,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Elementary,65,1,90
57,90770000018,320139,4.595977417,2000-01-01,1749,0.0561,29.75677,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Middle,65,1,90
57,90770000018,320139,4.595977417,2000-01-01,1749,0.0561,29.75677,-95.38087,77019,8318.06,BUCKNER STREET T/H'S,2310,101912322,High,95,1,90
59,90830000009,253332,9.999913158,2019-03-01,1395,0.1228,29.75657,-95.38235,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
59,90830000009,253332,9.999913158,2019-03-01,1395,0.1228,29.75657,-95.38235,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
59,90830000009,253332,9.999913158,2019-03-01,1395,0.1228,29.75657,-95.38235,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
60,90850000003,310740,9.999964601,2002-08-16,2434,0.1148,29.7562,-95.38355,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
60,90850000003,310740,9.999964601,2002-08-16,2434,0.1148,29.7562,-95.38355,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
60,90850000003,310740,9.999964601,2002-08-16,2434,0.1148,29.7562,-95.38355,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
61,90860000001,177963,15.45767726,1988-01-02,744,0.0781,29.7568,-95.38323,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
